especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2015,2015,Abr,633.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2015,2015,Abr,361.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2015,2015,Abr,436.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2015,2015,Abr,369.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2015,2015,Mai,1101.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2015,2015,Mai,586.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2015,2015,Mai,307.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2015,2015,Mai,283.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2015,2015,Jun,1215.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2015,2015,Jun,571.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2015,2015,Jun,330.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2015,2015,Jun,283.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2015,2015,Jul,1468.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2015,2015,Jul,652.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2015,2015,Jul,271.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2015,2015,Jul,283.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2015,2015,Ago,1294.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2015,2015,Ago,548.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2015,2015,Ago,204.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2015,2015,Ago,202.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2015,2015,Set,1550.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2015,2015,Set,680.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2015,2015,Set,224.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2015,2015,Set,188.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2015,2015,Out,1216.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2015,2015,Out,499.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2015,2015,Out,192.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2015,2015,Out,185.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2015,2015,Nov,908.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2015,2015,Nov,377.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2015,2015,Nov,136.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2015,2015,Nov,159.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2015,2015,Dez,1559.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2015,2015,Dez,546.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2015,2015,Dez,115.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2015,2015,Dez,144.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2016,2016,Jan,977.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2016,2016,Jan,372.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2016,2016,Jan,105.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2016,2016,Jan,123.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2016,2016,Fev,1065.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2016,2016,Fev,369.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2016,2016,Fev,88.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2016,2016,Fev,106.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2016,2016,Mar,1215.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2016,2016,Mar,448.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2016,2016,Mar,175.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2016,2016,Mar,151.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2016,2016,Abr,1012.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2016,2016,Abr,383.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2016,2016,Abr,112.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2016,2016,Abr,126.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2016,2016,Mai,1202.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2016,2016,Mai,443.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2016,2016,Mai,169.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2016,2016,Mai,155.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2016,2016,Jun,1214.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2016,2016,Jun,534.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2016,2016,Jun,92.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2016,2016,Jun,104.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2016,2016,Jul,896.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2016,2016,Jul,403.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2016,2016,Jul,111.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2016,2016,Jul,132.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2016,2016,Ago,1140.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2016,2016,Ago,556.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2016,2016,Ago,110.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2016,2016,Ago,123.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2016,2016,Set,1346.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2016,2016,Set,620.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2016,2016,Set,206.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2016,2016,Set,158.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2016,2016,Out,931.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2016,2016,Out,409.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2016,2016,Out,282.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2016,2016,Out,181.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2016,2016,Nov,1139.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2016,2016,Nov,488.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2016,2016,Nov,228.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2016,2016,Nov,172.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2016,2016,Dez,1295.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2016,2016,Dez,569.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2016,2016,Dez,201.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2016,2016,Dez,152.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2017,2017,Jan,1264.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2017,2017,Jan,563.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2017,2017,Jan,206.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2017,2017,Jan,174.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2017,2017,Fev,1174.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2017,2017,Fev,556.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2017,2017,Fev,161.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2017,2017,Fev,132.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2017,2017,Mar,1384.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2017,2017,Mar,731.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2017,2017,Mar,269.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2017,2017,Mar,218.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2017,2017,Abr,826.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2017,2017,Abr,457.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2017,2017,Abr,154.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2017,2017,Abr,151.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2017,2017,Mai,1451.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2017,2017,Mai,752.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2017,2017,Mai,233.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2017,2017,Mai,219.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2017,2017,Jun,1201.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2017,2017,Jun,640.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2017,2017,Jun,192.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2017,2017,Jun,185.0
